Номер;Время отк;Время зак.;Бот;Инструмент;Напр.;Состояние;Объём;Текущий;Ожидает;Цена входа;Цена выхода;Прибыль;Стоп Активация;Стоп Цена;Профит Активация;Профит цена;Тип Сигнала на Открытие;Тип Сигнала на Закрытие
1611;11.04.2025 16:33:00;11.04.2025 16:35:00;15 MyNewBot1tab1;UsdSgd.txt;Buy;Done;751703,703058;0,000000;0;1,31778;1,31739;-293,164444;0;0;0;0;IndexDeviation;IndexQuality
1610;11.04.2025 16:33:00;11.04.2025 16:35:00;11 MyNewBot1tab1;UsdNok.txt;Buy;Done;92813,143442;0,000000;0;10,6724;10,66382;-796,336771;0;0;0;0;IndexDeviation;IndexQuality
1612;11.04.2025 16:33:00;11.04.2025 16:35:00;3 MyNewBot1tab1;UsdDkk.txt;Buy;Done;151326,501712;0,000000;0;6,54608;6,55019;621,951922;0;0;0;0;IndexDeviation;IndexQuality
1609;11.04.2025 16:32:00;11.04.2025 16:34:00;14 MyNewBot1tab1;UsdSek.txt;Buy;Done;101311,973112;0,000000;0;9,77823;9,77393;-435,641484;0;0;0;0;IndexDeviation;IndexQuality
1608;11.04.2025 16:32:00;11.04.2025 16:34:00;7 MyNewBot1tab1;UsdJpy.txt;Buy;Done;6952,452025;0,000000;0;142,477;142,434;-298,9554;0;0;0;0;IndexDeviation;IndexQuality
1607;11.04.2025 16:31:00;11.04.2025 16:34:00;1 MyNewBot1tab1;UsdChf.txt;Sell;Done;1219147,759636;0,000000;0;0,8125;0,81157;1133,807416;0;0;0;0;IndexDeviation;IndexQuality
1594;11.04.2025 16:08:00;11.04.2025 16:16:00;2 MyNewBot1tab1;UsdCny.txt;Buy;Done;136582,140473;0,000000;0;7,2945;7,2935;-136,58214;0;0;0;0;IndexDeviation;IndexQuality
1602;11.04.2025 16:10:00;11.04.2025 16:13:00;17 MyNewBot1tab1;UsdZar.txt;Buy;Done;52087,498755;0,000000;0;19,1274;19,13578;436,49324;0;0;0;0;IndexDeviation;IndexQuality
1605;11.04.2025 16:10:00;11.04.2025 16:13:00;12 MyNewBot1tab1;UsdPln.txt;Buy;Done;264761,738954;0,000000;0;3,763;3,7624;-158,85704;0;0;0;0;IndexDeviation;IndexQuality
1596;11.04.2025 16:07:00;11.04.2025 16:13:00;7 MyNewBot1tab1;UsdJpy.txt;Buy;Done;6991,666014;0,000000;0;142,505;142,246;-1810,8415;0;0;0;0;IndexDeviation;IndexQuality
